Miesięczna_rata,Liczba_pozostałych_rat,Kolor,Filtr_cząstek_stałych,Liczba_miejsc,VAT_free,Transmission,Marka,Zarejestrowany_w_Polsce,Bezwypadkowy,Wartość_wykupu,Model,Matowy,Make,Kierownica_po_praweJ_Anglik,Rok_produkcji,Typ,Engine_power,Kraj_pochodzenia,Rodzaj_paliwa,Stan,Napęd,Pierwsza_rejestracja,Opłata_początkowa,Country_of_origin,Color,Gearbox,Pojemność_skokowa,Akryl_niemetalizowany,Metallic,Door_count,Uszkodzony,Year,Engine_capacity,Kategoria,Body_type,Moc,VAT_marża,Możliwość_finansowania,Homologacja_ciężarowa,Liczba_drzwi,Pierwszy_właściciel,Registered_in_Poland,Emisja_CO2,Service_record,Faktura_VAT,Perłowy,Leasing_concession,Leasing,Kod_Silnika,Mileage,Tuning,Skrzynia_biegów,Serwisowany_w_ASO,Fuel_type,Financing_option,Version,Nr_of_seats,Przebieg,Wersja,No_accident,Metalik,VIN,Oferta_od,First_registration
,,Bordowy,Tak,,,,Fiat,Tak,,,Osobowe Bravo,,,,,Hatchback,,Niemcy,Diesel,Używane,Na przednie koła,,,,,,,,,,,,,Osobowe,,,,,,,,,,,,,,,,,,Manualna,,,,,,,II (2007-2014),,Tak,,Osoby prywatnej,
,,Bordowy,,,,,Opel,Tak,Tak,,Osobowe Insignia,,,,,Hatchback,,Polska,Diesel,Używane,Na przednie koła,,,,,,,,,,,,,Osobowe,,,,,,,Tak,,,,Tak,,,,,,,Automatyczna hydrauliczna (klasyczna),Tak,,,,,,A (2008-2017),,Tak,,Osoby prywatnej,
,,Czarny,,,,,Nissan,,Tak,,Osobowe Juke,,,,,SUV,,Polska,Benzyna,Używane,Na przednie koła,,,,,,,,,,,,,Osobowe,,,,,,,Tak,,,,,Tak,,,,,,Manualna,Tak,,,,,,,,,,Osoby prywatnej,
,,Czarny,,,,,Mini,Tak,Tak,,Osobowe Cooper,,,,,Hatchback,,Niemcy,Benzyna,Używane,Na przednie koła,,,,,,,,,,,,,Osobowe,,,,,,,,,,,,,,,,,,Manualna,,,,,,,,,Tak,,Osoby prywatnej,
,,Niebieski,,,,,Mazda,Tak,,,Osobowe 6,,,,,Sedan/Limuzyna,,Stany Zjednoczone,Benzyna,Używane,Na przednie koła,,,,,,,,,,,,,Osobowe,,,,,,,,,,,Tak,,,,,,,Automatyczna hydrauliczna (klasyczna),,,,,,,III (2012-),,Tak,,Osoby prywatnej,
,,Zielony,,,,,Volkswagen,Tak,Tak,,Osobowe Multivan,,,,,Van (minibus),,Niemcy,Diesel,Używane,,,,,,,,,,,,,,Osobowe,,,,,,,,,,,,,,,,,,Manualna,,,,,,,,,,,Osoby prywatnej,
,,Biały,Tak,,,,Ford,Tak,Tak,,Osobowe Mondeo,,,,,Hatchback,,Niemcy,Diesel,Używane,Na przednie koła,,,,,,,,,,,,,Osobowe,,,,,,,,,,,Tak,,,,,,,Automatyczna hydrauliczna (klasyczna),,,,,,,Mk4 (2007-2014),,Tak,,Osoby prywatnej,
,,Czarny,,,,,Volkswagen,Tak,Tak,,Osobowe Golf,,,,,Hatchback,,Polska,Benzyna,Używane,Na przednie koła,,,,,,,,,,,,,Osobowe,,,Tak,,,,Tak,,,,,,,,,,,Automatyczna hydrauliczna (klasyczna),Tak,,,,,,VII (2012-),,Tak,,Firmy,
,,Czarny,Tak,,,,Volkswagen,Tak,Tak,,Osobowe Passat,,,,,Kombi,,Niemcy,Diesel,Używane,Na przednie koła,,,,,,,,,,,,,Osobowe,,,,,,,,,,,,,,,,,,Manualna,Tak,,,,,,B6 (2005-2010),,Tak,,Osoby prywatnej,
,,Czarny,,,,,Nissan,,Tak,,Osobowe Note,,,,,Hatchback,,Niemcy,Benzyna,Używane,Na przednie koła,,,,,,,,,,,,,Osobowe,,,,,,,Tak,,,,,,,,,,,Manualna,,,,,,,I (2005-2013),,Tak,,Osoby prywatnej,
,,Czarny,,,,,Renault,Tak,Tak,,Osobowe Koleos,,,,,SUV,,,Diesel,Używane,Na przednie koła,,,,,,,,,,,,,Osobowe,,,,,,,,,,,,,,,,,,Manualna,Tak,,,,,,,,,,Osoby prywatnej,
,,Srebrny,,,,,Volkswagen,,,,Osobowe Polo,,,,,Hatchback,,Belgia,Diesel,Używane,Na przednie koła,,,,,,,,,,,,,Osobowe,,,,,,,,,,,,,,,,,,Manualna,,,,,,,IV (2001-2009),,Tak,,Osoby prywatnej,
,,Inny kolor,,,,,Dodge,Tak,Tak,,Osobowe Magnum,,,,,Kombi,,Niemcy,Benzyna,Używane,Na tylne koła,,,,,,,,,,,,,Osobowe,,,,,,,Tak,,,,,,,,,,,Automatyczna hydrauliczna (klasyczna),,,,,,,,,Tak,,Osoby prywatnej,
,,Biały,,,,,Suzuki,Tak,Tak,,Osobowe SX4 S-Cross,,,,,SUV,,Polska,Benzyna,Używane,4x4 (stały),,,,,,,,,,,,,Osobowe,,,,Tak,,,Tak,,,,Tak,,,,,,,Manualna,Tak,,,,,,,,,,Firmy,
,,Czarny,,,,,Honda,Tak,Tak,,Osobowe CR-V,,,,,SUV,,,Diesel,Używane,Na przednie koła,,,,,,,,,,,,,Osobowe,,,,,,,Tak,,,,Tak,,,,,,,Manualna,,,,,,,IV (2012-),,Tak,,Firmy,
,,Inny kolor,,,,,Mazda,,Tak,,Osobowe 5,,,,,Minivan,,Holandia,Benzyna,Używane,Na przednie koła,,,,,,,,,,,,,Osobowe,,,Tak,,,,Tak,,,,,,,,,,,Manualna,,,,,,,I (2005-2010),,Tak,,Firmy,
,,Srebrny,,,,,Dodge,,,,Osobowe Caliber,,,,,Hatchback,,,Benzyna,Używane,,,,,,,,,,,,,,Osobowe,,,Tak,,,,,,,,,,,,,,,Manualna,,,,,,,,,,,Osoby prywatnej,
